,c_connector_arm_Q,cross_Q,ground_main_plane,misc
cross_Q,-0.52194,136.14481,-133.36749,250
ground_main_plane,-49.70712,-133.36749,240.43091,10
c_connector_arm_Q,68.46814,-0.79624,-67.38037,30
cross_Q,-0.79624,135.21643,-132.1594,250
ground_main_plane,-67.38037,-132.1594,257.34087,60
c_connector_arm_Q,89.12904,-1.27964,-87.47413,30
cross_Q,-1.27964,136.24089,-132.68361,250
ground_main_plane,-87.47413,-132.68361,277.25188,110
c_connector_arm_Q,108.64585,-1.91929,-106.26335,30
cross_Q,-1.91929,136.22301,-132.02515,250
ground_main_plane,-106.26335,-132.02515,295.30611,160
